ticker,name,exchange,commodity,current_price,day_change_percent,market_cap,currency,last_updated
AEM,Agnico Eagle Mines Limited,TSX,Gold,273.739990234375,-0.94,137511085962.1167,CAD,2026-01-15T06:44:04.419009
ABX,Barrick Mining Corporation,TSX,Gold,69.33999633789062,0.49,118293603220.40414,CAD,2026-01-15T06:44:04.974833
WPM,Wheaton Precious Metals Corp.,TSX,Gold,184.92999267578125,1.86,83961524332.65369,CAD,2026-01-15T06:44:05.630759
CCO,Cameco Corporation,TSX,Uranium,153.80999755859375,1.78,66969973908.97424,CAD,2026-01-15T06:44:06.309417
FNV,Franco-Nevada Corporation,TSX,Gold,329.67999267578125,-0.13,63554751927.01837,CAD,2026-01-15T06:44:06.938726
K,Kinross Gold Corporation,TSX,Gold,46.220001220703125,-0.17,56332113015.411194,CAD,2026-01-15T06:44:07.612988
NTR,Nutrien Ltd.,TSX,Potash,91.91000366210938,7.99,44657604079.580505,CAD,2026-01-15T06:44:08.285120
FM,First Quantum Minerals Ltd.,TSX,Gold,41.349998474121094,1.6,34494422450.70245,CAD,2026-01-15T06:44:08.901484
PAAS,Pan American Silver Corp.,TSX,Gold,77.91000366210938,0.3,32881683315.582275,CAD,2026-01-15T06:44:09.546555
LUN,Lundin Mining Corporation,TSX,Gold,34.599998474121094,3.72,29609641732.198563,CAD,2026-01-15T06:44:10.168809
LUG,Lundin Gold Inc.,TSX,Gold,121.1500015258789,0.58,29249553800.896835,CAD,2026-01-15T06:44:10.754758
TECK,Teck Resources Limited,TSX,Gold,,,29044060845.73,CAD,2026-01-11T12:26:36.869854
AGI,Alamos Gold Inc.,TSX,Gold,59.68000030517578,0.49,25055705303.48323,CAD,2026-01-15T06:44:13.626210
IVN,Ivanhoe Mines Ltd.,TSX,Copper,16.770000457763672,1.08,23807087046.712074,CAD,2026-01-15T06:44:14.196404
EDV,Endeavour Mining plc,TSX,Gold,76.91999816894531,0.98,18602744571.44792,CAD,2026-01-15T06:44:14.748505
EQX,Equinox Gold Corp.,TSX,Gold,20.3700008392334,0.59,15985895458.100546,CAD,2026-01-15T06:44:15.276862
