Ticker,Name,Exchange,Commodity,Market Cap (CAD)
AEM,Agnico Eagle Mines Limited,TSX,Gold,122293252174.73
ABX,Barrick Mining Corporation,TSX,Gold,98596764529.9
WPM,Wheaton Precious Metals Corp.,TSX,Gold,69678124964.42
FNV,Franco-Nevada Corporation,TSX,Gold,56319828888.55
CCO,Cameco Corporation,TSX,Uranium,53968717234.1
K,Kinross Gold Corporation,TSX,Gold,47539961973.46
NTR,Nutrien Ltd.,TSX,Potash,39305859864.3
TECK,Teck Resources Limited,TSX,Gold,29044060845.73
LUG,Lundin Gold Inc.,TSX,Gold,28428590158.51
PAAS,Pan American Silver Corp.,TSX,Gold,26732484976.28
FM,First Quantum Minerals Ltd.,TSX,Gold,26561123370.24
LUN,Lundin Mining Corporation,TSX,Gold,22364672825.74
AGI,Alamos Gold Inc.,TSX,Gold,22196508811.92
IVN,Ivanhoe Mines Ltd.,TSX,Copper,20754895833.16
EDV,Endeavour Mining plc,TSX,Gold,15488983184.04
EQX,Equinox Gold Corp.,TSX,Gold,15349639134.12
IMG,IAMGold Corporation,TSX,Gold,12611608103.2
CGG,China Gold International Resources Corp. Ltd.,TSX,Gold,10758669256.42
AG,First Majestic Silver Corp.,TSX,Gold,10363738969.3
TFPM,Triple Flag Precious Metals Corp.,TSX,Gold,9683603401.28
CS,Capstone Copper Corp.,TSX,Copper,9473307627.28
HBM,HudBay Minerals Inc.,TSX,Gold,9432281213.28
OR,OR Royalties Inc.,TSX,Gold,9166927937.73
NGD,New Gold Inc.,TSX,Gold,9041382353.64
ELD,Eldorado Gold Corporation,TSX,Gold,8824759648.56
BTO,B2Gold Corp.,TSX,Gold,8671533926.11
DPM,DPM Metals Inc.,TSX,Gold,8653668504.0
ARTG,Artemis Gold Inc.,TSXV,Gold,8449558415.5
OGC,OceanaGold Corporation,TSX,Gold,8249127038.13
NXE,NexGen Energy Ltd.,TSX,Uranium,8129648588.76
GMIN,G Mining Ventures Corp.,TSX,Gold,7535163299.61
