ticker,name,exchange,commodity,website
AEM,Agnico Eagle Mines Limited,TSX,Gold,
ABX,Barrick Gold Corporation,TSX,Gold,
VALE,Vale S.A.,NYSE,,
IVN,Ivanhoe Mines Ltd.,TSX,Diversified,
NICU,Magna Mining Inc.,TSXV,Nickel,
TECK,Teck Resources,TSX,,
K,Kinross Gold Corporation,TSX,Gold,
YRI,Yamana Gold Inc.,TSX,Gold,
ELD,Eldorado Gold Corporation,TSX,Gold,
IMG,IAMGOLD Corporation,TSX,Gold,
BTO,B2Gold Corp.,TSX,Gold,
OGC,OceanaGold Corporation,TSX,Gold,
SSL,Sandstorm Gold Ltd.,TSX,Gold,
OR,Osisko Gold Royalties Ltd,TSX,Gold,
WPM,Wheaton Precious Metals Corp.,TSX,Gold,
FNV,Franco-Nevada Corporation,TSX,Gold,
EDV,Endeavour Mining plc,TSX,Gold,
LUG,Lundin Gold Inc.,TSX,Gold,
TXG,Torex Gold Resources Inc.,TSX,Gold,
NGD,New Gold Inc.,TSX,Gold,
SEA,Seabridge Gold Inc.,TSX,Gold,
DPM,Dundee Precious Metals Inc.,TSX,Gold,
WDO,Wesdome Gold Mines Ltd.,TSX,Gold,
KNT,K92 Mining Inc.,TSX,Gold,
SBB,Sabina Gold & Silver Corp.,TSX,Gold,
MAG,MAG Silver Corp.,TSX,Silver,
FR,First Majestic Silver Corp.,TSX,Silver,
PAAS,Pan American Silver Corp.,TSX,Silver,
FM,First Quantum Minerals Ltd.,TSX,Copper,
HBM,Hudbay Minerals Inc.,TSX,Copper,
TKO,Teck Resources Limited,TSX,Diversified,
CS,Capstone Copper Corp.,TSX,Copper,
LUN,Lundin Mining,TSX,Copper,
ERO,Ero Copper Corp.,TSX,Copper,
NMX,North American Nickel Inc.,TSXV,Nickel,
FPX,FPX Nickel Corp.,TSXV,Nickel,
GIGA,Giga Metals Corporation,TSXV,Nickel,
LAC,Lithium Americas Corp.,TSX,Lithium,
SLI,Standard Lithium Ltd.,TSXV,Lithium,
LI,Li-Cycle Holdings Corp.,TSX,Lithium,
SGM,Sigma Lithium Corporation,TSXV,Lithium,
LTHM,Livent Corporation,TSX,Lithium,
CCO,Cameco Corporation,TSX,Uranium,
NXE,NexGen Energy Ltd.,TSX,Uranium,
DML,Denison Mines Corp.,TSX,Uranium,
FCU,Fission Uranium Corp.,TSX,Uranium,
URE,Ur-Energy Inc.,TSX,Uranium,
ZN,Zinc One Resources Inc.,TSXV,Zinc,
PDL,North American Palladium,TSX,PGM,
PLG,Platinum Group Metals Ltd.,TSX,PGM,
TECK.A,Teck Resources Limited,TSX,Diversified,
TECK.B,Teck Resources Limited,TSX,Diversified,
ABRA,AbraSilver Resource Corp.,TSX,Silver,
ARA,Aclara Resources Inc.,TSX,Rare Earths,
ALK,Alkane Resources Limited,TSX,Gold,
AAUC,Allied Gold Corporation,TSX,Gold,
AII,Almonty Industries Inc.,TSX,Tungsten,
AFM,Alphamin Resources Corp.,TSXV,Tin,
ATCU,Alta Copper Corp.,TSX,Copper,
ALT,Alturas Minerals Corp.,TSXV,Copper,
AMRQ,Amaroq Ltd.,TSXV,Gold,
ARIS,Aris Mining Corporation,TSX,Gold,
AGLD,Austral Gold Limited,TSXV,Gold,
AUM,AuMega Metals Ltd,TSXV,Gold,
ASM,Avino Silver & Gold Mines Ltd.,TSX,Silver,
CGG,China Gold International Resources,TSX,Gold,
GAU,Galiano Gold,TSX,Gold,
SKE,Skeena Resources,TSX,Gold,
